ID1,PD,ID2
23,-1,7
9,1,20
1,3,34
7,3,27
23,-2,9
34,-5,20
27,-4,1
7,-1,9
34,-3,23
20,-4,1
27,-1,9
7,3,34
1,4,23
20,3,27
9,4,34
1,-1,7
23,1,20
34,-3,27
9,-4,1
20,-4,7
27,2,23
15,2,2
8,2,22
17,1,24
2,4,31
15,-1,8
24,-2,22
31,3,17
2,3,8
24,5,15
22,-1,17
31,-2,8
2,5,24
17,2,15
22,5,31
8,3,24
17,-4,2
15,4,22
24,1,31
8,1,17
22,-4,2
31,-1,15
18,-3,10
19,-3,11
33,-3,14
10,1,19
14,2,18
11,1,33
14,-1,10
33,-2,19
18,-1,11
10,3,33
11,-2,14
19,-4,18
11,2,10
18,1,33
14,-1,19
28,-4,3
29,3,4
26,-4,25
3,4,13
28,1,29
25,-4,4
13,2,26
3,2,29
25,-1,28
4,3,26
13,1,29
3,5,25
26,2,28
4,5,13
29,-4,25
26,-1,3
28,-3,4
25,-3,13
29,-2,26
4,2,3
13,5,28
30,-1,12
5,4,32
21,-3,6
12,-3,16
30,-4,5
6,4,32
16,1,21
12,-3,5
6,4,30
32,-1,21
16,-3,5
12,3,6
21,1,30
32,-1,16
5,-2,6
21,-1,12
30,-1,32
6,2,16
5,1,21
32,-4,12
16,-3,30
1,3.333333333,32
17,2,16
9,3.333333333,24
25,1.666666667,8
5,0.6666666667,28
21,-0.6666666667,12
13,0.6666666667,20
29,-2.666666667,4
3,2,30
19,-2.666666667,14
11,1.666666667,22
27,-0.3333333333,6
7,1.666666667,26
23,-3.333333333,10
15,0.6666666667,18
31,-4,2
1,4,17
9,-3.666666667,25
5,1,12
13,-2.333333333,4
3,1.666666667,14
11,-2.333333333,6
7,1.666666667,10
15,-2.666666667,2
1,3.333333333,25
5,1,4
3,1.333333333,6
7,-2,2
1,3.666666667,5
3,-0.3333333333,2
1,-1.333333333,2
50,2,21
45,3,2
44,1,49
21,-3,45
49,2,50
2,1,44
49,1,21
44,-4,45
50,-2,2
21,-1,44
2,-1,49
45,4,50
2,2,21
50,-5,44
10,1,42
37,-3,7
48,4,46
42,3,37
46,2,10
7,-3,48
46,1,42
48,3,37
10,-1,7
42,-4,48
7,-2,46
37,4,10
7,-1,42
10,-3,48
46,3,37
35,1,3
41,2,11
43,3,36
3,-1,5
35,-1,41
36,1,11
5,2,43
3,2,41
36,-3,35
11,2,43
5,1,41
3,2,36
43,1,35
11,-5,5
41,2,36
43,-3,3
35,-1,11
36,-3,5
41,1,43
11,-1,3
5,2,35
12,-3,4
40,-1,20
39,1,8
4,3,28
12,-2,40
8,3,20
28,-5,39
4,-1,40
8,-2,12
20,-2,39
28,4,40
4,4,8
39,2,12
20,-1,28
40,1,8
39,-5,4
12,-2,20
8,2,28
40,-2,39
20,-1,4
28,3,12
6,3,27
47,-1,38
9,-5,1
27,3,47
1,1,6
38,2,9
1,1,27
9,-1,47
6,1,38
27,-2,9
38,-4,1
47,-3,6
38,2,27
6,-2,9
1,3,47
48,4.333333333,21
42,0.3333333333,40
41,0.3333333333,11
27,-2.666666667,3
4,0.6666666667,47
8,-2.666666667,49
2,1.333333333,35
50,-4,1
5,0.6666666667,12
9,-0.3333333333,38
44,1,20
10,-3.666666667,39
46,-2.333333333,37
43,-2.333333333,6
28,-1,7
36,-3.666666667,45
48,2,42
41,-1.333333333,3
4,1.333333333,49
2,0.6666666667,1
5,1.333333333,38
44,-0.6666666667,39
37,0.6666666667,6
7,-3.333333333,45
48,1.666666667,3
4,0.3333333333,2
5,-1.666666667,39
37,-2,45
48,0.3333333333,4
39,-0.3333333333,45
48,-1.666666667,45
1,3,17
53,-1,56
57,2,28
17,-1,53
28,-5,1
56,-4,57
28,-2,17
57,1,53
1,5,56
17,-1,57
56,-5,28
53,-3,1
56,-2,17
1,1,57
28,-1,53
18,-2,2
33,-3,24
16,1,55
2,5,33
55,1,18
24,-4,16
55,-1,2
16,1,33
18,2,24
2,3,16
24,-1,55
33,-2,18
24,-5,2
18,3,16
55,2,33
5,2,32
15,1,43
52,-4,22
32,1,15
22,-3,5
43,3,52
22,2,32
52,-1,15
5,3,43
32,1,52
43,-1,22
15,-1,5
43,2,32
5,4,52
22,-3,15
6,1,51
7,1,34
54,-2,25
51,-3,7
25,-1,6
34,1,54
25,-1,51
54,-1,7
6,1,34
51,1,54
34,-1,25
7,-5,6
34,1,51
6,2,54
25,2,7
51,-3,1
25,3,33
53,2,55
1,3,25
55,-3,51
33,-3,53
55,-4,1
53,-3,25
51,-4,33
1,4,53
33,-3,55
25,-1,51
33,-4,1
51,-4,53
55,-1,25
15,1,2
17,2,52
32,-5,22
2,4,17
22,-1,15
52,-1,32
22,-5,2
32,-5,17
15,4,52
2,4,32
52,-4,22
17,-3,15
52,-5,2
15,1,32
22,2,17
5,-1,18
16,1,34
54,5,28
18,-2,16
28,-3,5
34,-2,54
28,-3,18
54,-1,16
5,3,34
18,3,54
34,1,28
16,-2,5
34,1,18
5,1,54
28,-1,16
6,3,24
56,-3,7
43,2,57
24,2,56
57,1,6
7,4,43
57,3,24
43,3,56
6,1,7
24,2,43
7,3,57
56,-2,6
7,2,24
6,3,43
57,2,56
1,6.333333333,55
18,4,16
15,1.666666667,53
17,-3,6
5,2,32
22,-0.3333333333,7
57,2.666666667,25
34,-3.666666667,2
1,3,18
53,-0.6666666667,6
5,1.333333333,7
57,-3.333333333,2
1,1,6
5,-1.666666667,2
1,0.6666666667,2
53,-2,6
1,4,47
55,-3,60
6,-2,59
53,-2,1
60,-1,47
59,-2,55
6,-1,1
60,1,53
47,2,55
59,-4,1
6,-1,60
55,-1,53
47,-2,59
1,4,60
55,1,6
53,1,47
60,4,59
1,2,55
47,3,6
59,1,53
25,-4,7
43,4,5
10,-1,48
7,1,43
48,4,25
5,1,10
48,4,7
10,-2,43
25,1,5
7,1,10
5,1,48
43,-1,25
5,4,7
25,1,10
48,4,43
51,-1,4
57,1,11
33,-3,45
4,1,57
45,2,51
11,3,33
45,3,4
33,-4,57
51,1,11
4,1,33
11,-1,45
57,2,51
11,2,4
51,-1,33
45,3,57
15,-2,2
17,-3,39
46,-1,58
2,1,17
58,-1,15
39,5,46
58,-2,2
46,-1,17
15,-4,39
2,1,46
39,-1,58
17,-1,15
39,1,2
15,3,46
58,1,17
10,-1,1
11,1,46
43,-4,58
1,2,5
10,-1,11
58,-2,46
5,1,43
1,3,11
58,1,10
46,1,43
5,-1,11
1,3,58
43,2,10
46,-3,5
11,-1,58
43,-3,1
10,-1,46
58,3,5
11,-4,43
46,-5,1
5,3,10
57,3,59
15,-2,45
53,-4,6
59,2,15
6,1,57
45,2,53
6,-1,59
53,2,15
57,-2,45
59,2,53
45,1,6
15,-4,57
45,1,59
57,1,53
6,-1,15
47,-3,48
60,3,4
55,2,33
48,1,60
33,-2,47
4,2,55
33,-2,48
55,-5,60
47,-1,4
48,5,55
4,4,33
60,3,47
4,-3,48
47,1,55
33,-2,60
25,-2,39
2,4,51
7,-1,17
39,1,2
17,4,25
51,-4,7
17,-4,39
7,-3,2
25,-2,51
39,5,7
51,-2,17
2,4,25
51,-3,39
25,-5,7
17,-5,2
1,3,15
4,3,57
2,-0.6666666667,7
11,1,48
39,1.333333333,6
55,1,60
58,0.3333333333,5
17,-2.666666667,45
1,1.666666667,4
7,1.333333333,11
39,-3,55
58,-2,45
1,4,7
55,-3,45
1,0.6666666667,45